Pillar,Initiatives/Project,Customer/Business Problem Statement,MLP / Parity / Differentiation,KPIs/OKRs,"Priority 
(A, B, C)","Incept/Build in Quarter
(Q2/Q3/Q4)","Desired Launch
 Quarter
(Q2/Q3/Q4)","Inception Ready?
(Y/N)",Driving Team,Dependent Team,Overall Initaitive Sizing (Q3/Q4),Martech,Communications,UX,AdTech,CPG Media,Traffic Innovation (Project X),PZN,ShopCX- INTERNAL USE ONLY,ShopCX - UI Platform,ShopCX- Pharmacy,ShopCX- Land & Nav,ShopCX - Unified Search,ShopCX-Search&Browse,Exp & Opt (Target),Cart & Checkout,UMA,Tax,Catalog,UX.1,UCA,"
DigitalLabs",EPE,Offer Management,Offer Redemption,Payments,Omnichannel,Digital Order Management System (DOMS),MFC,Acupick,Transportation Services,Pickup Experience,VPOS,Demand Planning,Store Mobility,OSS,Subscription,Rewards,Auto Replenishment,J4U_Clipping/Instant Allocation,Partnership Rewards,"Customer Self Service (Web/Mobile)- (IVR, Chat, social media)",CS Analytics,ECHO,CRM Salesforce,Digital Trust & safety,Functional FAQs,Data Engineering,CDP,Analytics,Data Science,Retail / POS,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80
Shopper Experience,Aisle L2 Redesign // nan,"Customer Problem Statement:
Users are not able to find products easily, spending too much time navigating through the aisle and clicking too many times to find the product they are looking for. 
We don't showcase products by different categories to make it easy & fast for users to find the product. 
Products are not categorized by the way users shop, i.e users shop for coffee by type such as ground coffee, whole bean coffee, bottled coffee, etc.. vs users shop for soda by brand such as coca cola, pepsi, sprite, etc..
We don't incorporate deals into shoppable carousels to make it easy for users to find products on deals. 
We don't personalize the products on the aisles based on user's past purchase or past shopping behaviors. 
On L3 page, users are forced to do too much scrolling because products are not integrated into shoppable carousels. 
L1 page is not a shoppable page and it serves as an extra step for users to get to L2 page
We don't have category pages, instead we are using categories as filters which is not optimal for our SEO and user experience

Business Problem Statement:
Merchandising team does not have the ability to promote products according to the way customers shop such as type, brand, etc. All L2's follow the same page template and the format of the components cannot be edited.",Parity,"Traffic (+4%), Increase Units (+1.5), AOS (+$5.02), Conversion (+4 bps)  = +$17.8M",A,,,,?,,X,,,,,,,,X,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Search & Aisle - Left Hand Nav (Filters) // nan,"Customer Problem Statement:
Customer is unable to drill down into aisles or search results, making it difficult for them to find what they are looking for.  

Business Problem Statement:
Attribution will not only help customers filter down their items, but also provides more backend data to assist our search results to become more accurate.  Left Hand Nav is universal across all product categories and not unique to the item
",Parity,Conversion (+1.5% or 6bps) = $11M.  (Assuming search captures 60% of traffic),A,,,,?,,,,,,,,,,X,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Search & Aisle - Visual Shelf Navigators // nan,"Customer Problem Statement:
Currently, we don't have visual cues to help customers narrow down their browse/search results. Visual navigation based on customer decision tree data would help make the shopping experience easier for customers to find exactly what they want.

Business Problem Statement:
Visual navigation gives the merchandising team the capability to display our full customer offering in an easy, visual manner, including attributes, merch events, and deals",Parity,,C,,,,?,,,,,,,,,,X,,X,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,PDP - Zoom Functionality // nan,"Customer Problem Statement:
By adding zoom functionality to images, customers are able to see a more detailed view of the product and this will help drive their decision to add the item to cart. This will also bring us to parity with our competitors

Business Problem Statement:
PDPs are second biggest entry pages (13.5%) on the site but conversion rate is very low 0.5%
Today, we show only one product image that is static in size and does not provide customers additional clarity on the product",Parity,,C,,,,?,,,,,,,,,,X,,X,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,PDP - Enhanced Content // nan,"Customer Problem Statement:
By showing rich/enhanced content below the fold, customers can get a more well-rounded view of the product, and this will help drive their decision to add the item to cart. This will also bring us to parity with our competitors

Business Problem Statement:
PDPs are second biggest entry pages (13.5%) on the site but conversion rate is very low 0.5%
Today, we show only one product image that does not provide customers any additional detail than a product card. This is also an opportunity for the Shopper Marketing team to generate additional CPG revenue",Parity,Conversion (+1% or 4 bps) = $3.4M,C,,Q1,,?,,,,,,,,,,X,,X,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,PDP - Recipes // nan,"Customer Problem Statement:
By adding a recipe carousel to the PDP, this inspires customers inspiration for various recipe ideas. Shopping on the PDP is not just transactional, but incorporates additional content for that ingredient

Business Problem Statement:
PDPs are second biggest entry pages (13.5%) on the site but conversion rate is very low 0.5%
This will give more visibility into the recipes experience, an opportunity to cross-sell and up-sell, and be a point of differentiation from competition",Differentiation,"Increase Units (+1), AOS (+$3.52), Conversion (+1% or 4 bps)  = +$15.6M (impacts Fresh Categories)",A,,,,?,,,,,,,,,,X,,X,XS,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,PDP - Type 3 Pricing // nan,"Customer Problem Statement:
Customer currently is only able to shop items in full lb quantities and not able to customize how much they can get

Business Problem Statement:
By allowing customization, ATC rates will increase as well as basket size (AOV); additional options for the customers to market fresh categories",Parity,"Increase Units (+1), AOS (+$3.52), Conversion (+1% or 4 bps)  = +$15.6M (impacts Fresh Categories)",B,,,,?,,,,,,,,,,X,,X,,,x,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,PDP - Cross Sell/Up Sell Carousels // nan,"Customer Problem Statement:
Customer gets visibility into more affinity items that are relevant to the current item they are viewing. Customer is unable to find items they are looking for because they can only live under one aisle (ex: Frozen breakfast items live under the breakfast aisle but customer is searching in the frozen aisle). 

Business Problem Statement:
Exposes customers to additional items outside of immediate product type and increases basket size (AOV) and ATC rate. Merchandising team is unable to surface relevant products to the customer in multiple aisles across the site because items are limited to one aisle only. 
",Parity,"Increase Units (+2), AOS (+$6.83 or +6.8%) = +$23.3M",A,,,,?,,,,,,,,,,X,,X,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,x,,,,,,,,,,,,,,,,
Shopper Experience,"PDP - Item Badges // Home Page Redesign-MLP
1. Multiple CTA on hero banner
We are limited to one CTA and don't have flexibility to enable 1-3 CTAs within hero banner, depending on merch priorities.
2. Homepage Notification Bar
Gives us the ability to retain customers by clearly communicating shopper options upfront.
3. Homepage rotating banner
Have flexibility to enable 3-5 rotating banners within hero banner, to be able to feature more merch events.
4. UMA design Parity
5. Inspirational elements on page","Customer Problem Statement:
Customer currently is not able to filter in these attribute buckets or has any visibility into status; gives customers a visual representation of unique statuses of items

Business Problem Statement:
Exposes customers to additional value propositions of certain items, increasing ATC rates and basket size (AOV)",Parity,Conversion (+.5% or 2 bps) = $1.7M,C,,,,?,,,,,,,,,,X,,X,M,,x,,x,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Home Page Redesign and Navigation redesign-MLP //  Delight our millennial customers by bringing in ‘friendly, exciting, inclusive, accessible’ into the copy and a new, modern design system that also enables faster development.","Customer problem Statement:
- Current Homepage is dated and has an old/design and feel
- Customers are uninspired by the limited information on the page and leave the site
-Merchant team does not have the ability to add information on our values, advertize OWN products or educate customers on brand information
-CPG revenue is limited since we have a few slots for CPG
-Navigation is clunky and customer struggle to navigate through the site and find items they want to shop for",Parity,"Increased Customer engagement
Reduce bounce Rate
Increase CPG Revenue
Increase Visbility to OWN Brands
Multiple CTAa (Conversion (+9 bps or +2%) = +$12.7M (based on HP traffic))
Notification Bar (Conversion (+11 bps or +2.5%) = +$15.9M (based on HP traffic))
Rotating Banner (Conversion (+.5%) = $319K)
Improve customer journey
Increase Basket size/AOV
Reduce cart abandonment/bounce rate",A,Q2,Q3-Q4,No,Landing & Nav,,XL,S,S,,X,X,, ,X,?, ,L,,S,X, , ,, ,S,,,,,,,,,,,,L,,,,,XS,,,S,"Merch Ops,3rd Party CPG",,,,19,,,,,M,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Elevating Our Design & Voice: // SLOC become main system for store setup (front-end admn UI) and ALL asociated store services api's.

Currently: 
- Erums sets up stores for ecommerce and flags for associated services. 
- SLOC merges erums data with Yext (3rd party) store level data and provides many domain API's that power many internal systems including Web and APP","Customer Problem Statement
-Current website is dull and uninspiring, design is dated and customers are disconnected ",Differentiation,1.To get more traffic and  easy navigation and increase the basket size.,A,Q2,Q4,No,Landing & Nav,,XL,X,X,,X,X, ,X,X,?, ,M,,X,X,X, ,, ,X,X,X,X,X,X,TBD,,,,,,,,,,,X,S,,XS,,,,,16,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,"SLOC as replacement for erums Store Setup (EOT) Tool and erums Store Services  // Preview environment to view unpublished version of website and mobile app content Phase 1:

- www-preview.banner.com (all banners including Mini Sites)
- Ability to preview fully functional banners sites
- Session Variable Framework support

Support following workflows (workflow version-1):  
-  Preview & Production Server
- Publish to Preview
- Publish to Preview & Production
- Deactivate/Unpublish from Preview & Production Workflow","Background:
SLOC is a pass-thru API service combining data inpuuted in Store Locator provider (YEXT) and  ERUM's ecommerce store setup too.  SLOC powers website, mobile app, and other systems that rely on store level data.  does not have a User-Interface to add/remove store level attributes. 

Problem Statement:
There has been a request to expire the Erums ecom store setup tool and associated API and move all functions to SLOC. In order to support this request, this requires SLOC to develop a User Interface to manage data (add, delete, change) as well as to clean-up data to fit SLOC model. 
",Parity,Internal Request for to expire Erums Tool and migrate all functionaliyt to SLOC,"TBD

Post discussion with Abhishek",Q2,Q3-4,No,Catalog/SLOC,,,x,x,,x,,,,x,,,S,x,x,,M,x,x,x,,x,,,,,,,,,x,,,,,,,,,x0 we are not currently calling any ERUMS services,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Merchandising – CMS - Preview Env (Phase 1) // Provide Preview Tools/Configurations:

- View by Current/Future Date: ability to select a date to view pre-scheduled content publication and view site as date selected

- View by Session Variables: ability to easily select: banner, division, store ID, zip code authenticated state, and view content under selected variable

- View by Target Audience: ability to easily select a target audience and view content as that segment","Digital Production team currently does not have a satisfactory method of reviewing authored web content prior to publishing to production. This includes both static and dynamic (API driven i.e. product carousels). 

Focus: General and Dynamic Content ",Parity,"Authoring Must Have
Goal - Production content errors at 0%.",A,Q2,Q2,"YES
Requirements completed. ",Platform,"Digital Production

Dev Ops",L,,,,,,,,X,M,,,,, ,,X, ,, ,, ,, , , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Merchandising – CMS - Preview Env (Phase 2) // Develop Mobile App digital production capabilities in AEM to provide Merchandising team the tools needed to create inspiring, personalized and seasonally relevant content in App (current and future UMA).
MLP Components: mod unit, product carousels, notification alert, landin pages. ","Digital Production team currently does not have a satisfactory method of reviewing targetred authored web content prior to publishing to production. This includes both static and dynamic (API driven i.e. product carousels). 

Focus: Targered Content ",Parity/Differentiation,"Authoring Must Have
Goal - Production content errors at 0%.",B,Q2,Q3,"YES
Requirements completed. ",Platform,,M,,,,,,,,X,M,,,,, ,,X, ,, ,, ,, , , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Merchandising – App content Management Tools (MLP Components) // Ability to target carousel by division, store, or zip.

Expand session variables based targeting to components:
- P-Banner (web) Decouple from Target
","App team does not have method to update static content (ie. banners, product carousels, landing pages, etc) less an app release and/or the use of Adobe Target.  ",Parity/Differentiation,Must have for UMA,In Progress,Q1,Q1-Q2,Yes,Platform,"Digital Production

Dev Ops",,,,,,,,,X,M, ,, ,S, , ,X,,,, ,, , , ,, , ,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Merchandising (WEB)– CMS - Session variable targeting -  P-Banner  // Ability to target carousel by division, store, or zip.

Expand session variables based targeting to remaining components:
- Please Note component (web)
","Currently, Promotional Banner can only be targeted to display content by division, store, zip via the use of Adobe Target.",Parity/Differentiation,"1. Increase engagement with enabled component (Notification Alert, Mod Unit, P- Banner) by 10%",C,Q2,Q2,"Yes
",Platform,"Mobile App

Digital Production",,,,,,,,,X,XS,,,,,S,,, , , , ,, ,, , , ,, , ,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Merchandising (WEB) – CMS - Session variable targeting -  Check out 'Please Note' component // Ability to target carousel by division, store, or zip.
 
Component: :
- Product Carousels (web)
","Targetred Special messaging required to support customers check out process can only be displayed via the use of Adobe Target. Examples include:
- California Proposition 65 Warning
- Pricing Policy
- Lake Powell disclaimers",Parity/Differentiation,"Must Have 
(remove dependency from Target to enable AEM functionality)",D,Q2,Q3,Intake,Platform,,,,,,,,,,X,L,XS,,,,,L,X, , , , ,, ,, , , ,, , ,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Merchandising (WEB) – CMS - Session variable targeting -  Product Carousels // Enable AEM Content Services for App to target content via session variables. (banner, division, stores, zips) to MLP components. 
- Mod Unit
- Notication Alert
- Landing Pages
- Product Carousels (TBD)


","Merchandising team can not differientiate the product assortment displayed in Product Carousels based on division, store, zip.  ",Parity/Differentiation,"TBD 

Input from merch
working to identify baseline",D,Q2,Q3,Intake,Platform,,M,S,S,,x,,,,X,M,,,,x,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,Merchandising (APP) - AEM Content Services - MLP components Target by Session Variables // Mobile app Product Carousel can display products using Adobe Product Recommendation API. Content services. ,"Mobile App Content Services MLP does not support targeting content by banner, division, store, zip which means a banner unit will display the same for all banners. This is a must have (min. banner level / parity with web = session variables)",MLP / Parity,increase content engagement by 20% via targeted messaging.,A,Q2,Q2,Yes,Platform,,,,,,,,,,X,M,,,,,,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,"App - AEM Product Carousels - Enable Recs (API) // Enable Mod Unit banner (web) to display CPG sponsored banners (remaining use cases):
- aisles
- search
- just for u (main landing)","Mobile App must relay on Adobe Target to display Products provided by Adobe Recommendation engine. With new AEM content services and enabling product recs, this would bring parity to app carousel featrure set. ",Parity,"At parity with Web features
Follow up with Analytics",C,Q3,Q3,No,Personalization,,M,,,,,,,,X,S,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Marketing,"Sponsored Ads Banner to API - remove injection approach (remaining web use cases) // - product led approach
- Communiate ecom product offers are associated with Stores weekly ad.
- Create 'weekly ad' ecom section like 'Club Card' deals
- aisle filters to view 'Weekly Ad' offers",Move to Marketing/CPG?,Parity,"Improve pg performance for associated pages.
",B,Q1,Q2,"Yes
Requirements completed. ",Landing & Nav,,,,,,,,,,X,,,M,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,M,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Shop-able Weekly Ad via ecom browse (MLP) (Web & App) // Need to identify path/replacement for current weekly ad host Quotient.

Option 1: ABS fully hosted (major process mgmt. change and production suppot team required)
Option 2: switch to vendor i.e. Flipp",Digital customers browsing our ecommerce experience (Product Led)  are NOT exposed to advertised offers that our divisions select to be showcased in the Weekly Circular and thus are unable to easily identify and use features that provide efficiency to browse and add products to shopping cart. ,MLP,10% of existing ecom customers basket increase by average of $5-7 via addition of Weekly Ad product.,A,Q2,Q3,No,Platform,,L,,,,,,, ,X,XS, ,M, ,X,,X,S,,M,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,"

L",,M,,,Digital Pricing,,,,,,,,,,,,,,,,
Shopper Experience,Weekly Ad (Redesign/Quotient Replacement) // Automate Weekly Ad process to save time and improve sales productivity of landing pages carousels,"Current digital circular experience (offer Led) falls short in several key value-add features including:

- ecommerce integration 'ability to add items to cart'
- omni-channel distribution of circular offers with ability to add to cart",differentiator,10%  conversion non-ecom/weekly ad users to ecom customers.,A,"Q2

(RFP)",Q3-Q4,"No

Informed from Martech (Angel S.) they are in RFP process for Weekly Ad vendor. Sync up with Product required. ",Platform,,XL,,,,,,,,X,S ,,X,,X,,X,X,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,Automate Process for building Weekly Ad Product Carousels // Create component to display user's gift card balance using CashStar API,Need to improve sales productivity ,Differentiator,"Expected Outcomes (per Merch)

- Expect to save 1 -2 work days (4 – 20 hours) of effort across all analysts and category managers (includes expanded roll out of automated weekly ads)

 2. Enable scaling weekly ads carousel across all banners and regions of Albertsons company.

3. Increase cart additions to 7 – 9% from weekly ads",B,Q2,Q2-Q3,Intake Required,Platform,"Catalog & EDM API

Search & Browse via Pathways",XL,,,,,,,,X,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Gift Card landing page Card Balance API // Design systems tool kit integration with single page applications. (my account, orders, cart & checkout)",Customers of Albertsons Gift Cards must phone support line to obtain their available balance. ,Parity,"Over 5M gift cards sold in each year 

- offers potential incremental site traffic due to Gift Card balance check-in",C,Q2,Q2,Intake Required,Platform,,,,,,,,,,X,XS,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,
Shopper Experience,Design System (theme builder) - Integration (phase 3) // nan,Every site page / application today has custom code that defines styles. A centralized theme builder is required to unify look and feed across the whole site and to make it easy to roll out site wide look and feel changes.,Parity,Faster and consistent develpopment of front -end interfaces and reduces the pain of using multiple systems.,B,Q2,Q2,Yes,Platform,,,,,,,,,,X,XS,,x,S,,,M,,,,,S,,,,,,,,,,,,,,,XS,X,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Disaster Recovery (multi-region)  // Ability to continously validate various scenarios using by integrating mock data into specifc xAPI services  matching to the needed scenarios for Quality Assurance/Regression testing without impacting or reliance on Production data. ,Regulatory compliance standard for IT to ensure systems are in place as backup/recovery of data.,Parity,Compliancy Requirement ,A,Q2,Q3,No,Platform,,,,,,,,,,X,S,,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Mocking Framework (xAPI) // Provide clear communication of quantity for weighted products, so the customer receives their selection in a manner that matches their expectation.","Having the right data set availablle across different environments is a huge challenge today. This results in teams not being able to test features, failures in automation test runs and overall project delays. Being able to mock test data and having an automated recording and playback capability will help augment our testing and automation capabilities.",Differentiator,"Improved qualify of regression testing

Improved efficiency",A,Q1,Q2,Yes,Platform,,,,,,,,,,X,M,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Pricing: Lb. vs. Each - phase 2 // -- ML-based Buy It Again experience to smart rank & display past purchases based on customer's changing preferences, shopping patterns, rate of consumption and seasonality

-- ML-based ""Smart Basket"" - Customer's next basket based on their historic buying patterns for easier & faster basket building

-- ""Don't Forget"" list at cart & checkout based on customer's past purchases & basket items to recommend cart additions 

-- Organize & display customer's past purchases by category group",75% of customer orders have weighted items in their orders. Customer complaints indicate that they have received 2 beans instead of 2 lbs. of beans and other similar issues. This project aims to address these issues.,Parity ,"Reduced Customer Calls, Improved NPS, Improved Picking",A,Q1,Q3,No,Target,,,xs,xs,, , ,, ,X, , ,M, ,X,X,X,X,,X,X,,,,,,,,,,X,,,,,,,,,,,,tbd,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Buy It Again Phase 2 // -- Add/Save products and recipes to a list of favorites to enable quick access for easy & fast basket building

-- Personalize customer shopping experience by integrating user's favorites in search & browse
","
-- Customers past purchases are NOT ranked/displayed intelligently using ML

-- Customers Buy It Again experience is NOT dynamic based on their changing needs/preferences, shopping patterns, rate of consumption & seasonality

",Parity/Differentiator,"--Time to repurchase reduced by 5% in 2021

--Increase the % of cart from ""Buy It Again"" by 5% in 2021

--Increase AOV by 2% in 2021 for customers who use Buy It Again and ""Don't Forget"" list",A,Q1,Q2,Yes,Search & Browse,,,,,,,,,,X,S,,,,M,S,X,M,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,S,,AAIS,,,,,,,,,,,,,,,,
Shopper Experience,"Favorites // 
-- Allow customers to create personalized lists for future access to build their baskets easy and fast

-- ""Contextual Search"" - Quickly searching and adding products


--Personalize customer shopping experience by integrating curated lists in search & browse","-- Customers don't have ability to save/favorite products so that they can quickly add items from Favorites list for fast and easy basket building

-- Customers can't save their favorite recipes for easy access 

-- Customers shopping experiences are not personalized – Their favorited items and recipes are not integrated in their shopping journeys; i.e., search, browse, HP
",Parity ,"-- Time to purchase reduced by 5% in 2021

-- Increase the % of cart from ""My Items/Favorites"" by 5% in 2021",B,Q4,Q4,No,Personalization,,,,,,,,,,X,M,,,,X,S,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Multi Lists // 
-- Ability to create a list verbally with voice interactive experience, creating a personalized interactive experience for our Customers for easy & convenient shopping","

-- Customers don't have ability to create personalized lists for future access so that they can quickly add items from their lists for fast and easy basket building

-- Customers can't save their cart items or orders to a list for easy access ",Parity,"-- Time to purchase reduced by 5% in 2021

-- Increase the % of cart from ""My Items/Favorites"" by 5% in 2021",A,Q2,Q2,N,Personalization,,,,,,,,,,X,M,,,,L,S,L,X,,,X,,,,,,,,,,,,,,,,,,,,XS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Voice List // 
-- Ability to collaborate and share lists with friends and family  
-- Ability to send lists via email, SMS, etc..",-- Customers don't have ability to create personalized lists verbally for convenient & easy shopping experience,Differentiator ,"-- Time to purchase reduced by 5% in 2021
-- Increase the % of cart from ""My Items/Favorites"" by 5% in 2021",C,Q4,Fy22,N,Personalization,,,,,,,,,,X,M,,,,X,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Sharing Lists // 
-- Create Personalized Experiences in the form of Product Recommendations, Messaging and Journeys for all inferred and self-declared Dietary Preference Channels across the app
	
-- Inspirational Experiences based on past purchases, dietary preferences & restrictions, likes/dislikes, customer viewing data, search history, rating products to predict what should be recommended to customers

-- Integrated personalized recommendations from product discovery to checkout, i.e. Home Page, Category Pages, Product Page, Search, Cart & Checkout 
-- Sophisticated Search capability to surface the right products for our customers based on their dietary preferences, restrictions, likes and dislikes 
--Real time feedback loop for data enrichment - Allow users to rate their personalized recommendations (thumbs down/up, like/dislike) to fine tune our algorithm & make better suggestions ","
-- Customers can't collaborate on personalized lists with friends and family

-- Customers can't send their lists to friends and family via email or SMS",Parity,"-- Time to purchase reduced by 5% in 2021
-- Increase the % of cart from ""My Items/Favorites"" by 5% in 2021",C,Q4,Fy22,N,Personalization,,,,,,,,,,X,M,,,,X,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,Personalized Recommendations for Dietary Preferences // nan,,Parity/Differentiator,"-- Time to purchase reduced by 5% in 2021

-- Increase AOV by 2% in 2021",A,Q2,Q2,Y,Personalization,"UI Platform, UCA, UMA, EOT (Target), Data Science, Analytics, Search & Browse, Catalog, Domain API",,,,,,,,L,X,M,,,S,S,S,,M,,S,M,M,,,,,,,,,,,,,,,,,,,,,,,,,,,L,,S,M,,,,,,,,,,,,,,,,,,
Shopper Experience,,,,,,,,,,,,,,,,,,X,X,,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Netflix of Grocery Shopping // Build next generation search platform that powers our new experiences across different and varied content types : product, recipes, coupons, marketplace items, restaurant search etc. Unified search engine will be key underlying platform to deliver food authority vision",,Parity/Differentiator,"-- Time to purchase reduced by 5% in 2021

-- Increase AOV by 2% in 2021",A,Q2,Q3,N,Personalization,,,,,,,,,X,X,,X,,X,X,X,X,X,,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,X,M,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Unified Search Engine // Brand Index first built with our faceted search links, but eventually will equate to LP's. Branded search volume for SEO is high and this would take advantage of that search volume. As well it will benefit paid search with better landing pages and ad sales in that they can offer ad rails for these brands and CPG's. ","Current user shopping experience on our site and app is not personalized. This initiative is to improve user experience by integrating user's past purchase data across the site as well as optimizing past purchases dedicated page
",Parity,Search PLP - CTR lift +10% || Search Conversion : +5% || Relevancey Measure (NDCG) + 10 points,A,Q2,Q3,N,USE,,XL,x,,,,,,,L,,,,L,L,L, ,X,,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,L,L,L,,,,,,,,,,,,,,,,,,
Shopper Experience,"SEO - Brand Index // The faceted search pages are an underutilized set of page assets which SEO is trying get better indexed in Google. Due to the number of pages this encompases, being able to generate automated sitemaps to help indexation would ensure Google has picked up these pages.",Business Problem Statement - There is a lot of search volume the business is not capturing well with aisle pages or PDPs. A brand index linked from the navigation would create stronger brand search presence in Google which equates to high volume traffic we are not well indexed for. ,Parity ,- Increase search impressions on search pages by 30%. - Increase SEO visits on search pages by 12%,B,Q2,Q2,No ,Landing & Nav,,,,,,,,,,X,,X,M,,M,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shopper Experience,"Faceted Links Sitemap // Identify SEO features that may not have sufficient quality coverage as part of todays test suites.
Introduce additional manual and automated tests to cover these scenarios.
Research on third party tooling to cover specialized SEO scenarios.
Introduce monitoring capabilities or cadence to review SEO metrics exposed on Google Search Console and other such dashboards. https://confluence.safeway.com/display/SCX/SEO+Automated+Testing","Business Problem Statement - Faceted search pages have just become crawlable as an SEO asset, having autmated sitemaps for these pages will ensure indexing, visits, and stronger search placement in search engines.",Parity ,- Increase impressions on faceted search pages by 15% - Increase visits to faceted search pages by 10%,B,Q2,Q2,No ,Landing & Nav,,,,,,,,,,X,,X,S,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
